"","cloud_cover","cloud_cover_anom","cloud_cover_lanom","lon","lat","month","is_land","resid","proj_x","proj_y","loc_ind"
"14",43.4596774193548,12.3373079877112,0.366246316411318,0,35.2374992370605,1,TRUE,12.9021116954262,-0.00918766129988484,0.471220420389993,14
"29",66.9032258064516,2.26077348950334,0.0475881160019602,161.25,61.9033012390137,1,TRUE,16.8000428684687,1.10947485649061,0.782330867920609,29
"38",81.2661290322581,9.41452732974911,0.153366461522633,-69.375,-12.3808002471924,1,TRUE,30.0498494188143,-0.769984846521668,-0.169206601261541,38
"40",56.3064516129032,30.2996623783922,0.952930472607357,24.375,-23.8092002868652,1,TRUE,18.1464966414721,0.246479949676756,-0.322753648959903,40
"44",12.4677419354839,-2.17580325140809,-0.0242544900705051,24.375,19.9997005462646,1,TRUE,-22.3464016479216,0.250597453309874,0.272010721825986,44
"56",56.1854838709677,-6.57013728878648,-0.104254634424515,-73.125,8.57131004333496,1,TRUE,1.80955829027611,-0.817233189961358,0.117325644629951,56
"58",64.4032258064516,-0.32071492575524,-0.00381902141153745,174.375,-8.57131004333496,1,FALSE,10.34820749015,1.91377392585888,-0.117325644629951,58
"64",68.3145161290323,3.21296722990272,0.0555745094243996,22.5,-4.76183986663818,1,TRUE,2.47603293569357,0.239072839699289,-0.0652454745879316,64
"68",65.5403225806452,-1.78011712749615,-0.025461199756621,110.625,-42.8563995361328,1,FALSE,4.12476785254737,1.00467344371744,-0.56608417794399,68
"77",45.8709677419355,-13.072276625704,-0.228979509855637,-71.25,-71.4262008666992,1,TRUE,12.4109376622336,-0.388401636213091,-0.874934656392894,77
"79",78.2258064516129,19.5571716589862,0.318461292688442,3.75,-19.9997005462646,1,FALSE,25.2424823839724,0.0300716943971849,-0.272010721825986,79
"83",53.8064516129032,-4.89508608550948,-0.081654387001123,-159.375,-37.1422004699707,1,FALSE,-4.72345074602512,-1.54742201244637,-0.495289214522328,83
"87",59.6290322580645,6.65855254736304,0.122628430115943,-150,6.66657018661499,1,FALSE,4.04038542932788,-1.67007813402725,0.09130486877474,87
"90",63.9193548387097,11.7577412954429,0.210148170502866,-45,71.4262008666992,1,TRUE,18.2874353494424,-0.247164677590149,0.874934656392894,90
"97",61.758064516129,3.06273041474655,0.0560867935029581,-170.625,-16.1902008056641,1,FALSE,8.81685477671565,-1.85920312748741,-0.220797496835121,97
"101",64.991935483871,6.9896249359959,0.120162228690925,-39.375,16.1902008056641,1,FALSE,10.0445258888674,-0.436861937059884,0.220797496835121,101
"108",32.7822580645161,-19.9687516001024,-0.449445436480316,-18.75,-27.6186008453369,1,FALSE,-21.5952262127809,-0.202969065752503,-0.372932224183756,108
"116",64.8387096774194,-3.40256176395289,-0.0437399498965672,-161.25,37.1422004699707,1,FALSE,7.09588563139179,-1.56552051551592,0.495289214522328,116
"118",58.8629032258064,3.47765456989247,0.102541833705102,54.375,10.4760398864746,1,FALSE,3.71557011942441,0.587622390028898,0.143296420772171,118
"121",24.7903225806452,-24.8057523681516,-0.569564812588197,97.5,25.7138996124268,1,TRUE,-5.42972198847697,1.00588569838258,0.34791916786841,121
"127",63.9516129032258,0.159747823860727,0.00361869784272795,84.375,-50.4752006530762,1,FALSE,-0.168840356698805,0.699190398929718,-0.656664412013138,127
"128",51.2741935483871,-2.27944028417819,-0.035673134799139,-16.875,29.5233993530273,1,FALSE,-4.97131993704382,-0.181584561967046,0.397782161106919,128
"129",27.008064516129,-4.97321428571429,-0.102809250142258,45,39.0470008850098,1,TRUE,-5.97885907197184,0.418443783009971,0.519132647565433,129
"133",59.8790322580645,12.03446140553,0.245449013433748,165,-25.7138996124268,1,FALSE,6.02081650766348,1.70902909919371,-0.34791916786841,133
"134",56.3064516129032,-5.27784978238608,-0.0849733300415352,-46.875,-40.9516983032227,1,FALSE,-4.18094256014693,-0.44619899064092,-0.542735018565535,134
"139",69.9758064516129,7.30951100870455,0.120432920175244,-48.75,37.1422004699707,1,FALSE,12.2329824055853,-0.479610331343026,0.495289214522328,139
"148",66.3467741935484,6.57967549923195,0.107251747516811,80.625,-0.952368021011353,1,FALSE,9.72974287867436,0.88534121566971,-0.0130546246826355,148
"162",29.5,-29.9970462109575,-0.646942627132354,28.125,6.66657018661499,1,TRUE,-29.4191493332508,0.300821527247144,0.09130486877474,162
